,date_open,price_open,type,date_close,price_close
87,2022-04-05 19:53:00,4549.96,buy,2022-04-05 20:01:00,4548.84
88,2022-04-05 20:08:00,4556.14,buy,2022-04-05 20:24:00,4558.82
89,2022-04-05 20:36:00,4552.03,sell,2022-04-05 20:56:00,4544.33
90,2022-04-05 21:20:00,4547.8,buy,2022-04-05 21:28:00,4546.07
91,2022-04-05 21:32:00,4542.68,sell,2022-04-05 21:42:00,4543.66
92,2022-04-05 21:59:00,4540.27,sell,2022-04-05 22:17:00,4530.57
93,2022-04-05 22:24:00,4533.74,buy,2022-04-05 22:30:00,4526.26
94,2022-04-05 22:47:00,4517.85,sell,2022-04-05 22:51:00,4521.37
95,2022-04-06 10:32:00,4520.8,sell,2022-04-06 10:42:00,4513.02
96,2022-04-06 11:21:00,4502.92,sell,2022-04-06 11:27:00,4506.56
97,2022-04-06 11:50:00,4509.36,buy,2022-04-06 12:04:00,4508.67
98,2022-04-06 12:59:00,4501.25,buy,2022-04-06 13:09:00,4500.75
99,2022-04-06 13:16:00,4495.79,sell,2022-04-06 13:24:00,4496.35
100,2022-04-06 16:32:00,4479.71,sell,2022-04-06 16:54:00,4472.82
101,2022-04-06 17:01:00,4466.04,sell,2022-04-06 17:14:00,4465.11
102,2022-04-06 17:16:00,4469.86,buy,2022-04-06 17:26:00,4468.01
103,2022-04-06 17:29:00,4464.24,sell,2022-04-06 17:35:00,4467.62
104,2022-04-06 17:42:00,4470.54,buy,2022-04-06 17:52:00,4468.06
105,2022-04-06 17:54:00,4466.74,sell,2022-04-06 18:03:00,4464.7
106,2022-04-06 18:13:00,4463.47,sell,2022-04-06 18:22:00,4468.26
107,2022-04-06 18:23:00,4470.45,buy,2022-04-06 18:32:00,4464.46
108,2022-04-06 18:48:00,4474.43,buy,2022-04-06 18:57:00,4472.48
109,2022-04-06 19:14:00,4466.96,sell,2022-04-06 19:23:00,4463.82
110,2022-04-06 20:24:00,4472.95,buy,2022-04-06 20:46:00,4478.79
111,2022-04-06 20:58:00,4477.11,sell,2022-04-06 21:00:00,4480.39
112,2022-04-06 22:15:00,4497.25,buy,2022-04-06 22:17:00,4487.6
113,2022-04-06 22:37:00,4479.32,buy,2022-04-06 22:52:00,4485.77
114,2022-04-07 02:37:00,4472.98,sell,2022-04-07 03:02:00,4466.0
115,2022-04-07 04:45:00,4474.16,buy,2022-04-07 04:49:00,4472.16
116,2022-04-07 09:09:00,4469.23,buy,2022-04-07 09:20:00,4471.7
117,2022-04-07 10:15:00,4483.91,buy,2022-04-07 10:19:00,4482.68
118,2022-04-07 10:26:00,4487.42,buy,2022-04-07 10:30:00,4482.51
119,2022-04-07 10:57:00,4476.94,sell,2022-04-07 11:06:00,4478.94
120,2022-04-07 11:10:00,4481.5,buy,2022-04-07 11:14:00,4477.52
121,2022-04-07 11:47:00,4482.0,buy,2022-04-07 12:04:00,4486.31
122,2022-04-07 14:08:00,4498.6,buy,2022-04-07 14:09:00,4489.07
123,2022-04-07 15:05:00,4481.91,sell,2022-04-07 15:19:00,4480.05
124,2022-04-07 15:55:00,4471.66,sell,2022-04-07 16:01:00,4473.64
125,2022-04-07 16:05:00,4467.33,sell,2022-04-07 16:17:00,4470.81
126,2022-04-07 16:34:00,4476.94,buy,2022-04-07 16:44:00,4478.84
127,2022-04-07 17:01:00,4488.33,buy,2022-04-07 17:05:00,4477.98
128,2022-04-07 17:20:00,4472.01,sell,2022-04-07 17:25:00,4475.51
129,2022-04-07 17:35:00,4478.43,buy,2022-04-07 17:39:00,4471.69
130,2022-04-07 17:54:00,4466.79,sell,2022-04-07 17:55:00,4468.89
131,2022-04-07 18:01:00,4474.1,buy,2022-04-07 18:07:00,4466.9
132,2022-04-07 18:28:00,4460.42,sell,2022-04-07 18:38:00,4459.38
133,2022-04-07 18:53:00,4455.84,sell,2022-04-07 19:02:00,4459.8
134,2022-04-07 19:10:00,4465.87,buy,2022-04-07 19:16:00,4461.13
135,2022-04-07 19:19:00,4459.19,sell,2022-04-07 19:22:00,4460.36
136,2022-04-07 19:49:00,4450.13,sell,2022-04-07 19:51:00,4454.96
137,2022-04-07 20:03:00,4462.56,buy,2022-04-07 20:24:00,4474.64
138,2022-04-07 20:31:00,4480.59,buy,2022-04-07 20:39:00,4475.64
139,2022-04-07 20:55:00,4481.98,buy,2022-04-07 21:06:00,4486.46
140,2022-04-07 21:18:00,4483.82,sell,2022-04-07 21:25:00,4491.47
141,2022-04-07 21:48:00,4494.74,buy,2022-04-07 22:07:00,4510.61
142,2022-04-07 22:12:00,4517.21,buy,2022-04-07 22:19:00,4513.21
143,2022-04-07 22:20:00,4511.08,sell,2022-04-07 22:31:00,4511.44
144,2022-04-07 22:33:00,4513.38,buy,2022-04-07 22:42:00,4513.6
145,2022-04-07 22:46:00,4520.27,buy,2022-04-07 22:49:00,4513.47
146,2022-04-08 03:32:00,4497.49,sell,2022-04-08 03:39:00,4497.96
147,2022-04-08 10:06:00,4506.72,sell,2022-04-08 10:10:00,4512.29
148,2022-04-08 10:14:00,4512.76,buy,2022-04-08 10:16:00,4509.67
149,2022-04-08 10:38:00,4516.55,buy,2022-04-08 10:47:00,4514.16
150,2022-04-08 16:03:00,4497.19,sell,2022-04-08 16:16:00,4496.4
151,2022-04-08 16:33:00,4486.47,sell,2022-04-08 16:47:00,4482.02
152,2022-04-08 16:52:00,4475.42,sell,2022-04-08 17:01:00,4479.14
